ID,Data Point,Column Name,Category,ACS Variable
1,Total Population,pop,Population,B01001_001E
2,Total Age by Sex Series,agebysex_total_series,Population,B01001_001E
3,Total Male,age_total_male,Population,B01001_002E
4,Male Under 5,age_m_u5,Population,B01001_003E
5,Male 5 to 9,age_m_5to9,Population,B01001_004E
6,Male 10 to 14,age_m_10to14,Population,B01001_005E
7,Male 15 to 17,age_m_15to17,Population,B01001_006E
8,Male 18 and 19,age_m_18to19,Population,B01001_007E
9,Male 20,age_m_20,Population,B01001_008E
10,Male 21,age_m_21,Population,B01001_009E
11,Male 22 to 24,age_m_22to24,Population,B01001_010E
12,Male 25 to 29,age_m_25to29,Population,B01001_011E
13,Male 30 to 34,age_m_30to34,Population,B01001_012E
14,Male 35 to 39,age_m_35to39,Population,B01001_013E
15,Male 40 to 44,age_m_40to44,Population,B01001_014E
16,Male 45 to 49,age_m_45to49,Population,B01001_015E
17,Male 50 to 54,age_m_50to54,Population,B01001_016E
18,Male 55 to 59,age_m_55to59,Population,B01001_017E
19,Male 60 and 61,age_m_60to61,Population,B01001_018E
20,Male 62 and 64,age_m_62to64,Population,B01001_019E
21,Male 65 and 66,age_m_65to66,Population,B01001_020E
22,Male 67 to 69,age_m_67to69,Population,B01001_021E
23,Male 70 to 74,age_m_70to74,Population,B01001_022E
24,Male 75 to 79,age_m_75to79,Population,B01001_023E
25,Male 80 to 84,age_m_80to84,Population,B01001_024E
26,Male 85 Years and Over,age_m_85+,Population,B01001_025E
27,Female Total,age_total_female,Population,B01001_026E
28,Female Under 5,age_f_u5,Population,B01001_027E
29,Female 5 to 9,age_f_5to9,Population,B01001_028E
30,Female 10 to 14,age_f_10to14,Population,B01001_029E
31,Female 15 to 17,age_f_15to17,Population,B01001_030E
32,Female 18 and 19,age_f_18to19,Population,B01001_031E
33,Female 20,age_f_20,Population,B01001_032E
34,Female 21,age_f_21,Population,B01001_033E
35,Female 22 to 24,age_f_22to24,Population,B01001_034E
36,Female 25 to 29,age_f_25to29,Population,B01001_035E
37,Female 30 to 34,age_f_30to34,Population,B01001_036E
38,Female 35 to 39,age_f_35to39,Population,B01001_037E
39,Female 40 to 44,age_f_40to44,Population,B01001_038E
40,Female 45 to 49,age_f_45to49,Population,B01001_039E
41,Female 50 to 54,age_f_50to54,Population,B01001_040E
42,Female 55 to 59,age_f_55to59,Population,B01001_041E
43,Female 60 and 61,age_f_60to61,Population,B01001_042E
44,Female 62 and 64,age_f_62to64,Population,B01001_043E
45,Female 65 and 66,age_f_65to66,Population,B01001_044E
46,Female 67 to 69,age_f_67to69,Population,B01001_045E
47,Female 70 to 74,age_f_70to74,Population,B01001_046E
48,Female 75 to 79,age_f_75to79,Population,B01001_047E
49,Female 80 to 84,age_f_80to84,Population,B01001_048E
50,Female 85 Years and Over,age_f_85+,Population,B01001_049E
51,Tenure Total Households Series,tenure_total_agehh_series,Tenure,B25007_001E
52,Tenure Total Owner Occupied,tenure_allowneroccupied,Tenure,B25007_002E
53,Tenure Owner Occupied 55 to 59,tenure_owner_55to59,Tenure,B25007_007E
54,Tenure Owner Occupied 60 to 64,tenure_owner_60to64,Tenure,B25007_008E
55,Tenure Owner Occupied 65 to 74,tenure_owner_65to74,Tenure,B25007_009E
