NAME,Population,Age:55 to 64,Age%:55 to 64,Age:65 to 74,Age%:65 to 74,Age:75 to 84,Age%:75 to 84,Age:85 and Older,Age%:85 and Older,Age:Under 18,Age%:Under 18,Age:18 to 54,Age%:18 to 54,Age:55 and Older,Age%:55 and Older,RaceEth:White Alone 55 and Over,RaceEth%:55 and Over that are White Alone,RaceEth:Black or African American Alone 55 and Over,RaceEth%:55 and Over that are Black or African American Alone,RaceEth:American Indian Alaska Native Alone 55 and Over,RaceEth%:55 and Over that are American Indian Alaska Native Alone,RaceEth:Asian Alone 55 and Over,RaceEth%:55 and Over that are Asian Alone,RaceEth:Native Hawaiian Pacific Islander Alone 55 and Over,RaceEth%:55 and Over that are Native Hawaiian Pacific Islander Alone,RaceEth:Some Other Race Alone 55 and Over,RaceEth%:55 and Over that are Some Other Race Alone,RaceEth:Two or More Races 55 and Over,RaceEth%:55 and Over that are Two or More Races,RaceEth:Hispanic or Latino 55 and Over,RaceEth%:55 and Over that are Hispanic or Latino,RaceEth:Minority 55 and Over,RaceEth%:55 and Over that are Minority,ForeignBornAge:Foreign Born Population 55 Over,ForeignBornAge%:Foreign Born Population that is 55 Over,ForeignBornAge%:55 Over that is Foreign Born,Language65Over:Language Besides English Spoken at Home,Language65Over%:Language Besides English Spoken at Home,Language65Over:Language Besides English:Speak English Not Well or At All,Language65Over%:Language Besides English:Speak English Not Well or At All,LivingSituation:Living Alone 65 Over,LivingSituation%:65 Over that are Living Alone,LivingSituation:Living with Spouse 65 Over,LivingSituation%:65 Over that are Living with Spouse,Grandparents:Grandparents that are 60 Over,Grandparents%:Grandparents that are 60 Over,"Grandparents:Grandparents 60 Over, Primary Caregiver for Grandchild",Grandparents%:Grandparents 60 Over that are Primary Caregiver for Grandchild,HHIncome:Median for Householder Under 25,HHIncome:Median for Householder Under 25 to 44,HHIncome:Median for Householder Under 45 to 64,HHIncome:Median for Householder Under 65 Over,Median Household Income,"HHIncome:65 Over Less than 50,000","HHIncome%:65 Over Less than 50,000",Poverty:Below Poverty Level 65 and Over,Poverty%:65 and Over Below Poverty Level,Poverty%:Below Poverty Level 65 and Over,Homeownership:Homeowners Age 55 and Over,Homeownership%:Age 55 and Over Householders Homeowners,Homeownership:Renters Age 55 and Over,Homeownership%:Age 55 and Over Householders Renters,Homeownership:Homeowners Age 55 to 59,Homeownership%:Age 55 to 59 Householders Homeowners,Homeownership:Renters Age 55 to 59,Homeownership%:Age 55 to 59 Householders Renters,Homeownership:Homeowners Age 60 to 64,Homeownership%:Age 60 to 64 Householders Homeowners,Homeownership:Renters Age 60 to 64,Homeownership%:Age 60 to 64 Householders Renters,Homeownership:Homeowners Age 65 to 74,Homeownership%:Age 65 to 74 Householders Homeowners,Homeownership:Renters Age 65 to 74,Homeownership%:Age 65 to 74 Householders Renters,Homeownership:Homeowners Age 75 to 84,Homeownership%:Age 75 to 84 Householders Homeowners,Homeownership:Renters Age 75 to 84,Homeownership%:Age 75 to 84 Householders Renters,Homeownership:Homeowners Age 85 Over,Homeownership%:Age 85 Over Householders Homeowners,Homeownership:Renters Age 85 Over,Homeownership%:Age 85 Over Householders Renters,CBAge:Cost Burdened Households Householder 65 Over,CBAge%:Households Cost Burdened Householder 65 Over,CBAge:Cost Burdened Renters Householder 65 Over,CBAge%:Renters Cost Burdened Householder 65 Over,CBAge:Cost Burdened Homeowners Householder 65 Over,CBAge%:Homeowners Cost Burdened Householder 65 Over
Cheatham County,41072,6231,15.24291795,4047,9.900190812,1642,4.016830569,448,1.095944029,8960,21.91888057,19550,47.82523607,12368,30.25588336,11728,94.82535576,222,1.794954722,75,0.606403622,69,0.557891332,0,0,13,0.105109961,261,2.110284605,81,0.654915912,684,5.530401035,178,13.99371069,1.43919793,55,0.896203357,21,38.18181818,1395,22.73097605,1726,28.12449079,733,45.8698373,206,28.10368349,86875,73054,77689,51344,69132,1679.199566,45.5314416,409,6.801929154,9.905546137,6305,85.89918256,1035,14.10081744,1581,78.38373823,436,21.61626177,1451,88.74617737,184,11.25382263,2199,90.79273328,223,9.207266722,830,85.92132505,136,14.07867495,244,81.33333333,56,18.66666667,776,21.04121475,161,38.79518072,615,18.79010082
Davidson County,715884,81264,11.47002781,54935,7.75381445,23587,3.329193073,9038,1.275670793,147101,20.7626078,392565,55.40868608,168824,23.82870612,116897,69.24193243,42057,24.91174241,312,0.184807847,4487,2.65779747,0,0,1741,1.031251481,3330,1.972468369,6335,3.752428565,55694,32.9893854,16921,17.79958765,10.02286405,5996,6.847875742,2405,40.11007338,29198,33.34627684,18909,21.59547739,6140,49.88625284,607,9.885993485,40839,70614,74172,51665,66047,23940.65959,41.63882634,8917,10.34538768,9.060886884,76046,72.01257564,29555,27.98742436,17554,68.20000777,8185,31.79999223,15806,70.66976661,6560,29.33023339,26513,73.9553696,9337,26.0446304,11799,76.75644028,3573,23.24355972,4374,69.71628945,1900,30.28371055,17480,30.40211493,7615,51.41796084,9865,23.11062175
Dickson County,54315,7639,14.1462963,5429,10.0537037,2404,4.451851852,821,1.52037037,12366,22.9,25341,46.92777778,16293,30.17222222,15233,93.49413859,623,3.823727981,39,0.239366599,74,0.454182778,0,0,51,0.31301786,273,1.675566194,194,1.190695391,1167,7.162585159,373,42.67734554,2.289326705,81,0.93598336,17,20.98765432,2304,26.62352669,2063,23.83868731,492,46.72364672,122,24.79674797,53046,65989,76303,41891,61388,2881.648504,54.89899989,879,10.21261764,15.18659295,8078,85.17503163,1406,14.82496837,1659,84.64285714,301,15.35714286,2003,88.04395604,272,11.95604396,2898,83.51585014,572,16.48414986,1228,88.09182209,166,11.90817791,290,75.32467532,95,24.67532468,1169,22.27090874,400,48.01920768,769,17.41394928
Houston County,8283,1184,14.37242049,984,11.94464676,558,6.773488711,128,1.553775188,1796,21.80140811,3588,43.55426074,2854,34.64433115,2657,93.09740715,119,4.169586545,21,0.73580939,0,0,21,0.73580939,0,0,36,1.261387526,4,0.14015417,197,6.902592852,45,60,1.576734408,0,0,0,,428,25.62874251,431,25.80838323,15,13.15789474,3,20,57656,63047,42969,40000,46535,529.3478261,57.53780718,209,13.44051447,18.86281588,1281,80.92229943,302,19.07770057,276,69.52141058,121,30.47858942,197,74.06015038,69,25.93984962,397,88.41870824,52,11.58129176,351,86.02941176,57,13.97058824,60,95.23809524,3,4.761904762,205,22.2826087,39,34.82142857,166,20.54455446
Humphreys County,18990,2778,14.6549905,2207,11.64275164,1241,6.546739819,330,1.740873602,4155,21.91918126,8245,43.49546318,6556,34.58535556,6243,95.22574741,107,1.632092739,17,0.259304454,19,0.28981086,0,0,29,0.442342892,141,2.150701647,31,0.472849298,315,4.804758999,142,44.93670886,2.165954851,18,0.476442562,0,0,1080,28.58655373,869,23.00158814,98,27.22222222,8,8.163265306,32857,53539,56269,41365,49745,1321.830127,54.10684105,355,9.592002162,17.24137931,3156,83.38177015,629,16.61822985,597,79.6,153,20.4,433,73.14189189,159,26.85810811,1265,85.18518519,220,14.81481481,721,93.39378238,51,6.606217617,140,75.2688172,46,24.7311828,547,22.39050348,153,48.26498423,394,18.53245532
Maury County,100974,13711,13.84795629,10008,10.1079678,4355,4.398501177,1504,1.519023139,23160,23.39134036,46273,46.73521124,29578,29.8734484,25703,86.89904659,3033,10.25424302,120,0.405706944,130,0.439515856,9,0.030428021,90,0.304280208,493,1.666779363,674,2.278720671,4240,14.3349787,753,20.22019334,2.545811076,355,2.237347955,82,23.09859155,3858,24.31461524,4344,27.3775761,808,44.51790634,111,13.73762376,47146,71445,76733,44930,66353,4991.684564,51.5403672,1024,6.638573744,11.66951567,14544,81.72163848,3253,18.27836152,3039,75.22277228,1001,24.77722772,3355,82.39194499,717,17.60805501,5104,82.76309389,1063,17.23690611,2346,88.59516616,302,11.40483384,700,80.45977011,170,19.54022989,2654,27.40320083,699,45.53745928,1955,23.98773006
Montgomery County,220069,20895,9.665914179,12930,5.981348186,5394,2.495235276,1801,0.833132876,58448,27.03772922,116704,53.98664027,41020,18.97563052,30795,75.07313506,7254,17.68405656,163,0.397367138,1132,2.759629449,27,0.06582155,322,0.784982935,1327,3.235007314,1745,4.254022428,11154,27.19161385,3185,24.89059081,7.764505119,1608,7.990062112,188,11.69154229,4973,24.71055901,4969,24.69068323,2146,49.26538108,243,11.32339236,41242,66387,78753,47355,63768,5986.887862,48.09131547,1417,7.21450028,5.539050895,19298,79.61878043,4940,20.38121957,4275,74.93426819,1430,25.06573181,4777,78.51742275,1307,21.48257725,6319,81.65137615,1420,18.34862385,2881,86.62056524,445,13.37943476,1046,75.57803468,338,24.42196532,3076,24.70881195,1177,53.4271448,1899,18.53406207
Robertson County,72803,10274,14.20846644,6685,9.245045568,3210,4.439281417,721,0.997109627,17309,23.93754581,34110,47.17255113,20890,28.88990305,18791,89.95213021,1298,6.213499282,65,0.311153662,106,0.507419818,3,0.014360938,84,0.402106271,543,2.599329823,426,2.039253231,2312,11.06749641,778,23.12722949,3.724269986,287,2.703466466,25,8.710801394,2388,22.49434815,2765,26.04559156,851,46.99061292,217,25.49941246,36655,75705,80526,44716,67597,3390.09974,51.86017653,867,8.322933666,10.04053272,10173,83.41943419,2022,16.58056581,2393,75.87190869,761,24.12809131,2114,84.42492013,390,15.57507987,3469,85.19155206,603,14.80844794,1789,88.78411911,226,11.21588089,408,90.66666667,42,9.333333333,1635,25.01147315,335,38.46153846,1300,22.94387575
Rutherford County,341486,36571,10.8973614,22559,6.722090615,9743,2.903201776,3057,0.910919412,83108,24.76437372,180557,53.80205307,71930,21.43357321,60111,83.56874739,7868,10.93841235,148,0.205755596,2010,2.794383428,0,0,423,0.588071736,1370,1.904629501,2358,3.278187126,13192,18.34005283,4921,18.21513177,6.841373558,2161,6.111598179,981,45.39565016,7881,22.28852626,9131,25.82369411,3438,53.0965251,612,17.80104712,44800,74874,86694,55763,72985,8359.995224,39.92356841,2540,7.287124168,7.568759498,33882,81.21284756,7838,18.78715244,8495,76.82221016,2563,23.17778984,8094,83.25447439,1628,16.74552561,11274,83.82779389,2175,16.17220611,4751,81.43640727,1083,18.56359273,1268,76.52383826,389,23.47616174,5268,25.15759312,1732,47.49108857,3536,20.44757995
Stewart County,13657,1990,14.6657823,1671,12.31483529,778,5.733657602,239,1.761367824,2967,21.86601813,5924,43.65833886,4678,34.47564301,4495,96.08807183,34,0.726806327,13,0.277896537,38,0.812312954,0,0,16,0.342026507,82,1.752885849,99,2.116289012,263,5.62206071,140,43.61370717,2.992731937,29,1.078869048,23,79.31034483,764,28.42261905,656,24.4047619,155,53.08219178,73,47.09677419,38375,65046,60271,43888,51460,957.8439138,55.78590063,233,8.896525391,12.91574279,2487,87.3244382,361,12.6755618,451,85.25519849,78,14.74480151,527,87.54152824,75,12.45847176,926,89.12415784,113,10.87584216,466,84.11552347,88,15.88447653,117,94.35483871,7,5.64516129,349,20.32615026,60,28.84615385,289,19.15175613
