County,GEOID,totalv,StateFIPS,CountyFIPS,Region,seniorvet,senior,percentseniors_veteran,percentveterans_senior
"Stewart County, Tennessee",0500000US47161,1529,47,161,GNRC,610,2678,22.78,39.9
"Montgomery County, Tennessee",0500000US47125,27489,47,125,GNRC,5616,19065,29.46,20.43
"Houston County, Tennessee",0500000US47083,804,47,083,GNRC,377,1692,22.28,46.89
"Humphreys County, Tennessee",0500000US47085,1445,47,085,GNRC,661,3593,18.4,45.74
"Dickson County, Tennessee",0500000US47043,3012,47,043,GNRC,1357,8513,15.94,45.05
"Cheatham County, Tennessee",0500000US47021,2620,47,021,GNRC,1109,6063,18.29,42.33
"Robertson County, Tennessee",0500000US47147,3924,47,147,GNRC,1657,10431,15.89,42.23
"Sumner County, Tennessee",0500000US47165,11680,47,165,GNRC,5605,29889,18.75,47.99
"Davidson County, Tennessee",0500000US47037,29594,47,037,GNRC,13803,84748,16.29,46.64
"Wilson County, Tennessee",0500000US47189,8996,47,189,GNRC,4081,21910,18.63,45.36
"Trousdale County, Tennessee",0500000US47169,787,47,169,GNRC,271,1454,18.64,34.43
"Williamson County, Tennessee",0500000US47187,10125,47,187,GNRC,5347,30577,17.49,52.81
"Rutherford County, Tennessee",0500000US47149,17924,47,149,GNRC,6310,34063,18.52,35.2
All,x,119929,47,x,GNRC,46804,254676,18.38,39.03
