County,GEOID,total,nothisp_whitealone,StateFIPS,CountyFIPS,Region,minority,%minority,total55+,total65+,total55+notminority,total65+notminority,minority55+,minority65+,%minority55+,%minority65+
"Stewart County, Tennessee",0500000US47161,13553,12397,47,161,GNRC,1156,8.53,4666,2678,4462,2573,204,105,4.37,3.92
"Montgomery County, Tennessee",0500000US47125,204992,128270,47,125,GNRC,76722,37.43,38586,19065,28381,14869,10205,4196,26.45,22.01
"Houston County, Tennessee",0500000US47083,8201,7521,47,083,GNRC,680,8.29,2874,1692,2679,1584,195,108,6.78,6.38
"Humphreys County, Tennessee",0500000US47085,18528,16915,47,085,GNRC,1613,8.71,6280,3593,6115,3528,165,65,2.63,1.81
"Dickson County, Tennessee",0500000US47043,53289,47624,47,043,GNRC,5665,10.63,15914,8513,14896,8121,1018,392,6.4,4.6
"Cheatham County, Tennessee",0500000US47021,40539,37206,47,021,GNRC,3333,8.22,12107,6063,11512,5793,595,270,4.91,4.45
"Robertson County, Tennessee",0500000US47147,70982,58524,47,147,GNRC,12458,17.55,20354,10431,18202,9520,2152,911,10.57,8.73
"Sumner County, Tennessee",0500000US47165,187680,155517,47,165,GNRC,32163,17.14,54542,29889,49291,27401,5251,2488,9.63,8.32
"Davidson County, Tennessee",0500000US47037,690540,386782,47,037,GNRC,303758,43.99,163756,84748,111058,61093,52698,23655,32.18,27.91
"Wilson County, Tennessee",0500000US47189,140604,117685,47,189,GNRC,22919,16.3,40678,21910,36619,19935,4059,1975,9.98,9.01
"Trousdale County, Tennessee",0500000US47169,10910,9007,47,169,GNRC,1903,17.44,2641,1454,2220,1215,421,239,15.94,16.44
"Williamson County, Tennessee",0500000US47187,232380,194587,47,187,GNRC,37793,16.26,60458,30577,54646,28178,5812,2399,9.61,7.85
"Rutherford County, Tennessee",0500000US47149,324139,225604,47,149,GNRC,98535,30.4,68861,34063,56833,29282,12028,4781,17.47,14.04
