NAME,Population,Age:55 to 64,Age%:55 to 64,Age:65 to 74,Age%:65 to 74,Age:75 to 84,Age%:75 to 84,Age:85 and Older,Age%:85 and Older,Age:Under 18,Age%:Under 18,Age:18 to 54,Age%:18 to 54,Age:55 and Older,Age%:55 and Older,RaceEth:White Alone 55 and Over,RaceEth%:55 and Over that are White Alone,RaceEth:Black or African American Alone 55 and Over,RaceEth%:55 and Over that are Black or African American Alone,RaceEth:American Indian Alaska Native Alone 55 and Over,RaceEth%:55 and Over that are American Indian Alaska Native Alone,RaceEth:Asian Alone 55 and Over,RaceEth%:55 and Over that are Asian Alone,RaceEth:Native Hawaiian Pacific Islander Alone 55 and Over,RaceEth%:55 and Over that are Native Hawaiian Pacific Islander Alone,RaceEth:Some Other Race Alone 55 and Over,RaceEth%:55 and Over that are Some Other Race Alone,RaceEth:Two or More Races 55 and Over,RaceEth%:55 and Over that are Two or More Races,RaceEth:Hispanic or Latino 55 and Over,RaceEth%:55 and Over that are Hispanic or Latino,RaceEth:Minority 55 and Over,RaceEth%:55 and Over that are Minority,ForeignBornAge:Foreign Born Population 55 Over,ForeignBornAge%:Foreign Born Population that is 55 Over,ForeignBornAge%:55 Over that is Foreign Born,Language65Over:Language Besides English Spoken at Home,Language65Over%:Language Besides English Spoken at Home,Language65Over:Language Besides English:Speak English Not Well or At All,Language65Over%:Language Besides English:Speak English Not Well or At All,LivingSituation:Living Alone 65 Over,LivingSituation%:65 Over that are Living Alone,LivingSituation:Living with Spouse 65 Over,LivingSituation%:65 Over that are Living with Spouse,Grandparents:Grandparents that are 60 Over,Grandparents%:Grandparents that are 60 Over,"Grandparents:Grandparents 60 Over, Primary Caregiver for Grandchild",Grandparents%:Grandparents 60 Over that are Primary Caregiver for Grandchild,HHIncome:Median for Householder Under 25,HHIncome:Median for Householder Under 25 to 44,HHIncome:Median for Householder Under 45 to 64,HHIncome:Median for Householder Under 65 Over,Median Household Income,Poverty:Below Poverty Level 65 and Over,Poverty%:65 and Over Below Poverty Level,Poverty%:Below Poverty Level 65 and Over,Homeownership:Homeowners Age 55 and Over,Homeownership%:Age 55 and Over Householders Homeowners,Homeownership:Renters Age 55 and Over,Homeownership%:Age 55 and Over Householders Renters,Homeownership:Homeowners Age 60 to 64,Homeownership%:Age 60 to 64 Householders Homeowners,Homeownership:Renters Age 60 to 64,Homeownership%:Age 60 to 64 Householders Renters,Homeownership:Homeowners Age 65 to 74,Homeownership%:Age 65 to 74 Householders Homeowners,Homeownership:Renters Age 65 to 74,Homeownership%:Age 65 to 74 Householders Renters,Homeownership:Homeowners Age 75 to 84,Homeownership%:Age 75 to 84 Householders Homeowners,Homeownership:Renters Age 75 to 84,Homeownership%:Age 75 to 84 Householders Renters,Homeownership:Homeowners Age 85 Over,Homeownership%:Age 85 Over Householders Homeowners,Homeownership:Renters Age 85 Over,Homeownership%:Age 85 Over Householders Renters,CBAge:Cost Burdened Households Householder 65 Over,CBAge%:Households Cost Burdened Householder 65 Over,CBAge:Cost Burdened Renters Householder 65 Over,CBAge%:Renters Cost Burdened Householder 65 Over,CBAge:Cost Burdened Homeowners Householder 65 Over,CBAge%:Homeowners Cost Burdened Householder 65 Over
Cheatham County,41072.0,6231.0,15.242917950976077,4047.0,9.900190811683546,1642.0,4.016830569010225,448.0,1.0959440285728266,8960.0,21.91888057145653,19550.0,47.8252360683008,12368.0,30.255883360242677,11728.0,94.82535575679172,222.0,1.794954721862872,75.0,0.6064036222509702,69.0,0.5578913324708926,0.0,0.0,13.0,0.1051099611901681,261.0,2.1102846054333764,81.0,0.6549159120310478,684.0,5.530401034928849,178.0,13.9937106918239,1.4391979301423026,55.0,0.8962033566889359,76.0,138.1818181818182,1395.0,22.73097604692847,1726.0,28.12449079354733,733.0,45.86983729662077,206.0,28.10368349249659,86875.0,73054.0,77689.0,51344.0,69132.0,409.0,6.801929153500748,9.905546137079195,6305.0,85.89918256130791,1035.0,14.1008174386921,1451.0,88.74617737003058,184.0,11.253822629969418,2199.0,90.7927332782824,223.0,9.207266721717588,830.0,85.92132505175984,136.0,14.078674948240169,244.0,81.33333333333333,56.0,18.666666666666668,776.0,21.0412147505423,161.0,38.795180722891565,615.0,18.79010082493125
Davidson County,715884.0,81264.0,11.470027805614755,54935.0,7.753814450450959,23587.0,3.329193072591003,9038.0,1.2756707928128836,147101.0,20.76260779968666,392565.0,55.408686078843736,168824.0,23.828706121469605,116897.0,69.2419324266692,42057.0,24.911742406292944,312.0,0.1848078472255129,4487.0,2.657797469554092,0.0,0.0,1741.0,1.0312514808321092,3330.0,1.972468369426148,6335.0,3.752428564659053,55694.0,32.9893853954414,16921.0,17.799587646217287,10.02286404776572,5996.0,6.847875742348104,8788.0,146.5643762508339,29198.0,33.34627683873915,18909.0,21.59547738693467,6140.0,49.88625284367891,607.0,9.88599348534202,40839.0,70614.0,74172.0,51665.0,66047.0,8917.0,10.34538767649345,9.060886883713367,76046.0,72.01257563848827,29555.0,27.987424361511724,15806.0,70.6697666100331,6560.0,29.330233389966917,26513.0,73.95536959553695,9337.0,26.04463040446304,11799.0,76.75644028103045,3573.0,23.24355971896956,4374.0,69.71628944851768,1900.0,30.283710551482308,17480.0,30.402114929734243,7615.0,51.41796083727211,9865.0,23.11062174951975
Dickson County,54315.0,7639.0,14.146296296296295,5429.0,10.053703703703704,2404.0,4.451851851851852,821.0,1.5203703703703704,12366.0,22.9,25341.0,46.92777777777778,16293.0,30.172222222222224,15233.0,93.49413858712332,623.0,3.8237279813416807,39.0,0.2393665991530105,74.0,0.4541827778800712,0.0,0.0,51.0,0.3130178604308599,273.0,1.675566194071073,194.0,1.190695390658565,1167.0,7.1625851592708525,373.0,42.67734553775744,2.2893267047198185,81.0,0.935983360295817,67.0,82.71604938271605,2304.0,26.6235266928588,2063.0,23.83868731222556,492.0,46.72364672364672,122.0,24.796747967479675,53046.0,65989.0,76303.0,41891.0,61388.0,879.0,10.21261763680725,15.186592950932964,8078.0,85.17503163222268,1406.0,14.824968367777307,2003.0,88.04395604395604,272.0,11.956043956043956,2898.0,83.51585014409221,572.0,16.48414985590778,1228.0,88.09182209469154,166.0,11.908177905308465,290.0,75.32467532467533,95.0,24.675324675324678,1169.0,22.270908744522767,400.0,48.019207683073226,769.0,17.41394927536232
Houston County,8283.0,1184.0,14.372420490410292,984.0,11.944646758922069,558.0,6.773488710852149,128.0,1.5537751881524642,1796.0,21.801408108764264,3588.0,43.55426074289876,2854.0,34.644331148336974,2657.0,93.09740714786264,119.0,4.16958654519972,21.0,0.7358093903293622,0.0,0.0,21.0,0.7358093903293622,0.0,0.0,36.0,1.261387526278907,4.0,0.1401541695865452,197.0,6.902592852137351,45.0,60.0,1.5767344078486334,0.0,0.0,0.0,,428.0,25.62874251497006,431.0,25.808383233532933,15.0,13.157894736842104,3.0,20.0,57656.0,63047.0,42969.0,40000.0,46535.0,209.0,13.440514469453376,18.86281588447653,1281.0,80.92229943145925,302.0,19.077700568540745,197.0,74.06015037593986,69.0,25.93984962406015,397.0,88.41870824053451,52.0,11.58129175946548,351.0,86.02941176470588,57.0,13.970588235294118,60.0,95.23809523809524,3.0,4.761904761904762,205.0,22.28260869565217,39.0,34.82142857142857,166.0,20.544554455445542
Humphreys County,18990.0,2778.0,14.654990504325808,2207.0,11.64275163536611,1241.0,6.546739818527116,330.0,1.7408736020257438,4155.0,21.919181261869596,8245.0,43.49546317788563,6556.0,34.58535556024478,6243.0,95.22574740695546,107.0,1.63209273947529,17.0,0.2593044539353264,19.0,0.2898108602806589,0.0,0.0,29.0,0.4423428920073216,141.0,2.1507016473459424,31.0,0.472849298352654,315.0,4.804758999389872,142.0,44.936708860759495,2.1659548505186086,18.0,0.4764425622022234,36.0,200.0,1080.0,28.586553732133403,869.0,23.00158814187401,98.0,27.22222222222222,8.0,8.16326530612245,32857.0,53539.0,56269.0,41365.0,49745.0,355.0,9.592002161577952,17.24137931034483,3156.0,83.38177014531044,629.0,16.618229854689563,433.0,73.1418918918919,159.0,26.85810810810811,1265.0,85.18518518518519,220.0,14.814814814814811,721.0,93.39378238341968,51.0,6.60621761658031,140.0,75.26881720430107,46.0,24.731182795698924,547.0,22.390503479328693,153.0,48.26498422712934,394.0,18.53245531514581
Maury County,100974.0,13711.0,13.847956287685207,10008.0,10.107967801557402,4355.0,4.398501176636939,1504.0,1.519023138843159,23160.0,23.391340356122047,46273.0,46.73521123915524,29578.0,29.87344840472271,25703.0,86.89904658868078,3033.0,10.254243018459666,120.0,0.4057069443505308,130.0,0.4395158563797417,9.0,0.0304280208262898,90.0,0.3042802082628981,493.0,1.6667793630400976,674.0,2.2787206707688146,4240.0,14.334978700385422,753.0,20.22019334049409,2.545811075799581,355.0,2.2373479548748976,499.0,140.56338028169014,3858.0,24.314615239175648,4344.0,27.37757610134241,808.0,44.51790633608815,111.0,13.737623762376238,47146.0,71445.0,76733.0,44930.0,66353.0,1024.0,6.638573743922205,11.669515669515668,14544.0,81.72163847839523,3253.0,18.278361521604765,3355.0,82.39194499017681,717.0,17.608055009823183,5104.0,82.76309388681693,1063.0,17.23690611318307,2346.0,88.595166163142,302.0,11.404833836858003,700.0,80.45977011494253,170.0,19.54022988505747,2654.0,27.40320082601962,699.0,45.53745928338762,1955.0,23.98773006134969
Montgomery County,220069.0,20895.0,9.665914179449697,12930.0,5.981348185703976,5394.0,2.495235275613863,1801.0,0.8331328756730751,58448.0,27.037729215624594,116704.0,53.9866402679348,41020.0,18.97563051644061,30795.0,75.0731350560702,7254.0,17.684056557776696,163.0,0.3973671379814724,1132.0,2.7596294490492443,27.0,0.0658215504631886,322.0,0.7849829351535836,1327.0,3.235007313505607,1745.0,4.254022428083862,11154.0,27.19161384690395,3185.0,24.89059080962801,7.764505119453926,1608.0,7.990062111801242,1864.0,115.92039800995023,4973.0,24.71055900621118,4969.0,24.690683229813665,2146.0,49.2653810835629,243.0,11.323392357875116,41242.0,66387.0,78753.0,47355.0,63768.0,1417.0,7.214500280026476,5.53905089516066,19298.0,79.618780427428,4940.0,20.381219572571997,4777.0,78.51742274819198,1307.0,21.48257725180802,6319.0,81.65137614678899,1420.0,18.34862385321101,2881.0,86.62056524353578,445.0,13.37943475646422,1046.0,75.57803468208093,338.0,24.421965317919074,3076.0,24.70881195276729,1177.0,53.427144802542,1899.0,18.534062073004097
Robertson County,72803.0,10274.0,14.208466442628165,6685.0,9.245045568324828,3210.0,4.439281417250965,721.0,0.997109626740793,17309.0,23.937545810341728,34110.0,47.17255113471352,20890.0,28.88990305494475,18791.0,89.95213020584012,1298.0,6.213499281953087,65.0,0.3111536620392532,106.0,0.5074198180947822,3.0,0.0143609382479655,84.0,0.4021062709430349,543.0,2.5993298228817614,426.0,2.039253231211106,2312.0,11.067496409765438,778.0,23.127229488703925,3.7242699856390615,287.0,2.703466465712133,96.0,33.44947735191638,2388.0,22.49434815373022,2765.0,26.04559155990957,851.0,46.9906129210381,217.0,25.499412455934195,36655.0,75705.0,80526.0,44716.0,67597.0,867.0,8.322933666122683,10.04053271569195,10173.0,83.41943419434195,2022.0,16.580565805658058,2114.0,84.42492012779552,390.0,15.575079872204473,3469.0,85.19155206286837,603.0,14.80844793713163,1789.0,88.78411910669975,226.0,11.215880893300248,408.0,90.66666666666666,42.0,9.333333333333334,1635.0,25.011473152822397,335.0,38.46153846153847,1300.0,22.94387575008825
Rutherford County,341486.0,36571.0,10.89736140288145,22559.0,6.722090615176031,9743.0,2.903201775950178,3057.0,0.910919411790998,83108.0,24.764373724280755,180557.0,53.80205306992059,71930.0,21.433573205798652,60111.0,83.56874739329903,7868.0,10.938412345335744,148.0,0.2057555957180592,2010.0,2.7943834283331017,0.0,0.0,423.0,0.588071736410399,1370.0,1.9046295009036565,2358.0,3.278187126372863,13192.0,18.34005282913944,4921.0,18.21513177376369,6.841373557625468,2161.0,6.111598178681524,2630.0,121.70291531698288,7881.0,22.28852625922679,9131.0,25.8236941089963,3438.0,53.09652509652509,612.0,17.801047120418847,44800.0,74874.0,86694.0,55763.0,72985.0,2540.0,7.287124168005507,7.568759498197205,33882.0,81.21284755512943,7838.0,18.787152444870568,8094.0,83.25447438798601,1628.0,16.74552561201399,11274.0,83.82779388802142,2175.0,16.172206111978586,4751.0,81.43640726774083,1083.0,18.56359273225917,1268.0,76.52383826191912,389.0,23.47616173808087,5268.0,25.15759312320917,1732.0,47.49108856594461,3536.0,20.447579945642747
Stewart County,13657.0,1990.0,14.665782297884885,1671.0,12.314835286314391,778.0,5.733657601886653,239.0,1.7613678237158228,2967.0,21.86601812956003,5924.0,43.65833886063822,4678.0,34.47564300980176,4495.0,96.08807182556647,34.0,0.7268063274903805,13.0,0.2778965369816161,38.0,0.8123129542539546,0.0,0.0,16.0,0.3420265070542967,82.0,1.7528858486532708,99.0,2.116289012398461,263.0,5.622060709705002,140.0,43.61370716510904,2.992731936725096,29.0,1.0788690476190477,23.0,79.3103448275862,764.0,28.422619047619047,656.0,24.404761904761905,155.0,53.08219178082192,73.0,47.096774193548384,38375.0,65046.0,60271.0,43888.0,51460.0,233.0,8.896525391370751,12.915742793791573,2487.0,87.3244382022472,361.0,12.67556179775281,527.0,87.54152823920266,75.0,12.458471760797345,926.0,89.12415784408084,113.0,10.875842155919154,466.0,84.11552346570397,88.0,15.884476534296027,117.0,94.35483870967742,7.0,5.64516129032258,349.0,20.326150262085037,60.0,28.846153846153843,289.0,19.151756129887342
